MONTH,LABEL
2022-11-14T00:00:00Z,5
2022-11-15T00:00:00Z,6
2022-11-16T00:00:00Z,7
2022-11-17T00:00:00Z,8
2022-11-18T00:00:00Z,9
2022-11-19T00:00:00Z,0
2022-11-20T00:00:00Z,0
2022-11-21T00:00:00Z,10
2022-11-22T00:00:00Z,11
2022-11-23T00:00:00Z,12
2022-11-24T00:00:00Z,13
2022-11-25T00:00:00Z,14
2022-11-26T00:00:00Z,0
2022-11-27T00:00:00Z,0
2022-11-28T00:00:00Z,15
2022-11-29T00:00:00Z,16
2022-11-30T00:00:00Z,17
2022-12-01T00:00:00Z,18
2022-12-02T00:00:00Z,19
2022-12-03T00:00:00Z,0
2022-12-04T00:00:00Z,0
2022-12-05T00:00:00Z,
2022-12-06T00:00:00Z,
2022-12-07T00:00:00Z,
2022-12-08T00:00:00Z,
2022-12-09T00:00:00Z,
2022-12-10T00:00:00Z,
2022-12-11T00:00:00Z,
